"playerId","player","team","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg0039","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","regTds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
2540013,"Will Compton","WAS","LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,26.845027124774,0.579204339963834,0.236528028933092,0.401808318264014,2.37594936708861,0.342676311030741,32.6840867992767,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540020,"Theo Riddick","DET","RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609168490153173,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7456728590847,NA,NA,NA,0,3.53336356466877,504.255130126183,NA,0,19.2061898211829,0.6,0.2,0.1,0,79.5668328047123,1.42030757097792,307.786123817035,NA,0.0315912208504801,NA
2540037,"Fozzy Whittaker","CAR","RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318678571428571,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93314285714286,NA,NA,NA,0,0.11417004048583,83.8242799305957,NA,0,127.021733149931,0.5,0.2,0.1,0,27.5489285714286,0.438056680161943,137.13048582996,NA,0.0270781893004115,NA
2540137,"Jarvis Jones","ARI","LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,6.32477535301669,0.486521181001284,0.486521181001284,0.486521181001284,0.973042362002567,0.973042362002567,11.1899871630295,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540138,"Damontre Moore","DAL","DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.37869062901155,0.486521181001284,0,0,0.973042362002567,2.18934531450578,12.1630295250321,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540140,"Barkevious Mingo","IND","LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.40564826700899,0.486521181001284,0.486521181001284,0,0.973042362002567,0.486521181001284,8.75738125802311,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540142,"Sheldon Richardson","NYJ","DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,36.1785714285714,1.11826401446655,0.69746835443038,0,1.36537070524412,3.7869801084991,24.2251356238698,10.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540143,"Alec Ogletree","LAR","LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,41.948643761302,1.24339963833635,0.900723327305606,2.01898734177215,10.2141048824593,1.93481012658228,91.9150994575045,10.9,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540145,"Cordarrelle Patterson","OAK","WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265135714285714,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.176335019674,0.4,0.1,0.1,1.1,1.34378557874763,254.765037950664,NA,1,188.913342503439,NA,NA,NA,0,7.88736462093863,0.0354365079365079,33.7923866213152,NA,0.0315912208504801,NA
2540147,"Johnathan Hankins","IND","DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.27086007702182,0.486521181001284,0,0,0.973042362002567,1.94608472400513,15.5686777920411,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
