playerId,player,team,playerposition,age,exp,bye,points,lower,upper,depth chart,2017projection,Insystem,QB_status,Support_status,News_analysts
2506922,Stephen Gostkowski,NE,K,33,11,9,151.014709,143.4874678,158.1301691,,,,,,
2555260,Dak Prescott,DAL,QB,24,1,6,260.7161834,205.081,284.7150423,,,,,,
2531332,Terrelle Pryor,WAS,WR,28,6,5,135.2931442,111.494,155.7379165,,,,,,
497326,Golden Tate,DET,WR,29,7,7,135.1461733,115.4009993,142.4943303,,,,,,
497322,Emmanuel Sanders,DEN,WR,30,7,5,134.6837847,117.791,145.3232741,,,,,,
2555418,Jordan Howard,CHI,RB,23,1,9,205.411721,188.3722085,217.6227304,1,,,,,
2495966,Delanie Walker,TEN,TE,33,11,8,109.9486703,99.824,120.2551476,,,,,,
2552379,Jeremy Langford,CHI,RB,26,2,9,46.89539834,6.018630316,61.54365304,2,,,,,
2540154,Keenan Allen,LAC,WR,25,4,8,131.5624177,114.2853577,145.372445,,,,,,
2532820,Kirk Cousins,WAS,QB,29,5,5,256.7134504,203.8022,286.8572452,,,,,,
2558250,Tarik Cohen,CHI,RB,22,0,9,37.41505352,0.263182442,58.58359715,3,,,,,
2541544,Benny Cunningham,CHI,RB,27,4,9,23.83095282,9.944156379,32.08498655,4,,,,,
100026,Cardinals,ARI,DST,NA,NA,8,182.0322111,79.9,135.7306422,,,,,,
2543551,KaDeem Carey,CHI,RB,25,3,9,15.78733676,-0.307870067,26.21657376,4,,,,,
2533039,Alshon Jeffery,PHI,WR,27,5,10,128.6434238,98.7022085,149.6644677,,,,,,
2552033,Jameis Winston,TB,QB,23,2,11,253.4286484,197.572,265.4834693,,,,,,
2506106,Larry Fitzgerald,ARI,WR,34,13,8,127.5595353,113.1675776,136.0323253,,,,,,
2540158,Zach Ertz,PHI,TE,27,4,10,104.3660253,96.37020673,114.2832188,,,,,,
2532903,Rishard Matthews,TEN,WR,28,5,8,126.6669314,103.3907637,141.29198,,,,,,
2540148,Tyler Eifert,CIN,TE,27,4,6,103.3482018,91.84513032,114.9467051,,,,,,
79860,Matthew Stafford,DET,QB,29,8,7,251.5278323,193.073,270.8077866,,,,,,
2503471,Adam Vinatieri,IND,K,45,21,11,141.0306767,136.5323365,147.0380038,,,,,,
2495259,Dan Bailey,DAL,K,29,6,6,140.8810765,133.9329387,145.9861035,,,,,,
2557976,Joe Mixon,CIN,RB,21,0,6,137.2969177,47.615,162.5229494,1,,,,,
2495893,Brandon Marshall,NYG,WR,33,11,8,124.9879943,105.604,138.9289771,,,,,,
1581,DeSean Jackson,TB,WR,31,9,11,124.8094966,109.9766339,140.408862,,,,,,
2552608,Stefon Diggs,MIN,WR,24,2,9,124.6636798,111.3222085,133.5742214,,,,,,
2506677,Matt Prater,DET,K,33,11,7,139.8354011,134.1,145.7084281,,,,,,
2543572,Martavis Bryant,PIT,WR,26,3,9,123.1933454,81.53864001,145.4025364,,,,,,
100004,Panthers,CAR,DST,NA,NA,11,175.2301812,85.8,124.9829664,,,,,,
2553568,Cameron Meredith,CHI,WR,NA,NA,9,122.5965945,107.8810678,127.6348584,,,,,,
100009,Broncos,DEN,DST,NA,NA,5,175.0249524,76.1,125.1684647,,,,,,
2543603,Jeremy Hill,CIN,RB,25,3,6,98.57329509,55.02477279,133.168871,2,,,,,
2556601,Wil Lutz,NO,K,23,1,5,137.2460398,131.4073754,143.2889799,,,,,,
2550256,Willie Snead,NO,WR,25,3,5,121.7044977,108.269,130.9160472,,,,,,
71309,Graham Gano,CAR,K,30,8,11,137.0411328,116.8,147.3591256,,,,,,
1062,Martellus Bennett,GB,TE,30,9,8,98.4232057,77.1,114.3771489,,,,,,
2495448,Randall Cobb,GB,WR,27,6,8,121.2876742,115.1901348,127.4718373,,,,,,
497284,Eric Decker,TEN,WR,30,7,8,121.1264262,99.46142115,136.1120616,,,,,,
2540156,Giovani Bernard,CIN,RB,26,4,6,88.48943541,58.15137279,116.4667946,3,,,,,
2532968,Blair Walsh,SEA,K,27,5,6,135.9529401,128.9,143.5067192,,,,,,
2507232,Mason Crosby,GB,K,33,10,8,135.9375837,125.3,140.4796866,,,,,,
